감정_대분류	문장
5	빨리 아르바이트를 구해야 할 텐데 요즘 일자리를 구하기가 쉽지 않네.당장 학자금 대출도 갚아야 하고 월세도 내야 하는데 부모님에게 손 벌리기가 너무 죄송해.이번에만 도와달라고 부모님께 부탁한 다음 아르바이트가 구해지면 바로 갚아야겠어.
3	내 딸은 내 옆에만 붙어있고 독립을 안 해.맞아. 취업조차도 안 하려고 하니까 답답해.오늘 저녁에 딸이랑 얘기하기로 했어.
3	업무가 많아서 쓰러질 것 같아. 집에 오면 녹초가 돼서 아무것도 할 수 없을 정도야.남들은 일을 잘해서 취미생활도 한다는데 나는 일을 너무 못해. 무능력한 사람 같아.똑같은 일을 제대로 처리 못 하니 무능력한 거지.
5	결혼할 때 바쁘다고 못 온 친구들에게 배신감을 느꼈던 것 같아.나는 바빠도 경조사는 다 챙겼던 것 같은데 실망이었던 것 같아.
5	생각보다 연금만으로는 생활이 어렵더군.저축을 더 많이 해놨어야지 싶어.매달 돈을 빌려 생활비를 메꾸느라 주변에 염치가 없어.
3	젊었을 때 건강을 신경 쓰지 않아서 지금 당뇨에 걸린 게 너무 억울해.그땐 몰랐는데 건강을 챙겼어야 했어.이제라도 더 악화되지 않게 음식을 신경 써야겠어.
3	건강 생각에 환멸이 나.내 체력이 너무 안 좋거든.
3	건강에 대해 걱정이 더 커지는 것 같아.만성질환에 오래도록 고생하다 보니까 건강에 대해 염세적으로 되네.오랫동안 고생하다 보니까 몸과 마음이 지쳐가네.
5	오늘도 두 시간도 못 자고 뜬 눈으로 밤을 새웠어. 불면증 때문에 이렇게 힘든데 가족들은 걱정도 안 하네.계속 불면증 때문에 힘들다고 하는데도 병원에 가라고만 하더라. 정말 내 가족들이 맞나 싶어서 너무 외로워져.응. 가족들한테 너무 실망해서 이럴 바엔 남편과의 이혼을 생각 중이야.
3	도시는 사람들 간에 교류가 거의 없는 것 같아서 외롭고 슬퍼.같이 있어도 같이 있지 않은 것 같은 느낌이랄까. 환멸을 느낄 때도 많아.다시 귀향하려고.
3	아들이 자기 일에 상관하지 말래.아들을 위해서 평생을 살았는데 그런 말을 들으니 비통한 심정이야.
3	바쁘게 사느라 뮤지컬을 보러 가자던 아내와의 약속을 미루고 미뤄 신뢰를 잃은 것이 후회가 돼.나름 바쁘게 사느라 나 자신만 챙기느라 아내와의 약속을 소중하게 생각하지 못한 부분이 후회가 돼.내가 앞으로 더 잘할 거야. 사소한 약속이라고 깨지 않는 모습을 보이고 먼저 적극적으로 다가가 사과해야지
3	코로나 문제도 그렇고. 나이 들어 쭈글쭈글해지니 보기도 싫고. 세상 살맛이 안 나.이제 사는데 더는 좋은 일은 없을 거 같아. 몸만 아파질 뿐.
3	어린 자녀의 마음을 헤아려주지 못했던 게 너무 후회돼.지금은 서로 많이 멀어진 것 같아.자녀가 나와 대화를 나누려고 하지 않아.
5	친구들하고 놀고 싶은데 돈이 없어서 우울해.친구들하고 우리 집에 와서 놀자고 이야기해야겠어.
5	남편이 탈모가 있는 나를 창피해하는 듯해.너무 속상하고 서운해. 남편까지 나를 부끄러워해서 나조차도 당당할 수 없어.남편한테 나를 창피해하지 말라고 말하고 탈모가 없어지게 노력해야겠어.
3	요즘 친구들이 나를 피하는 것 같아. 친구들과 어울릴 때 눈치를 보지 말 걸 후회돼.내가 좀 소심해서 남들 눈치를 많이 보는 편인데 그걸로 나한테 뭐라고 하고 친구들이 날 피하기 시작했어.운동하면서 소심한 성격을 바꿔볼까 해.
5	아들이 내 폐암 치료비를 내주지 못해서 미안하다고 눈물을 보였어. 마음이 아파.아빠가 되서 아들한테 해준 것도 없고 짐만 남겨주는 것 같아서 미안해.아들에게 괜찮다고 위로해주고 내가 치료비를 구해보는 것이 가장 좋은 방법 같아.
5	어제 작은 실수를 했는데 옆집 영감이 크게 꾸짖어서 민망했어.어제 내가 작은 말실수를 했는데 옆집 영감이 그걸 물고 늘어졌어.잘못한 것은 솔직하게 사과하고 다음부터 안 하겠다고 반성하면 돼.사과하는 모습을 보이면 화를 내려던 사람도 화를 삭이게 될 거야.
5	이번에 대입 시험을 보고 친한 친구는 같은 대학교에 들어가자고 나와 약속을 했어. 근데 그 친구가 갑자기 유학을 가기로 진로를 바꿔서 배신당한 느낌이야. 
3	이번 면접도 떨어졌어. 나는 평생 취업을 못 할지도 몰라.다른 회사 면접도 남아있긴 한데 그것도 결과가 안 좋으면 어떻게 하지?예상 질문지 뽑아야지.
5	이번에는 내가 더 공부를 많이 한 것 같은데 시험에서 친구를 이기지 못해서 질투 나고 속상해.영화를 보면 기분이 좋아져.
5	의사 말론 당장 수술해야 하다고 하는데 내가 그럴 돈이 어디 있어.수술할 돈이 없어서 약으로 겨우 버티고 있는데. 이런 현실이 너무 힘들다.주변에 혹시 내게 도움을 줄 수 있는 데가 있는지 알아봐야 할 것 같아.
5	엄마가 항상 나만 보면 하는 소리가 있어.나만 보면 항상 건강을 챙기라고 하셔 매일 해서 나는 너무 듣기 귀찮아.친한 선배에게 조언을 구해야겠어.
3	아내가 몸이 아파서 수술을 해야 하는데 돈이 부족해서 못하고 있어. 너무 슬프고 답답해.어떻게든 돈을 구하고 싶은데 방법이 없어. 힘이 되어주고 싶은데.일단 아내에게 최선을 다할 거야. 주변사람들에게 돈도 최대한 빨리 빌려보고.
3	부모님이 나한테 갑자기 다정한 척 해.평소에는 나한테 관심도 없으셨어. 오히려 갑자기 이러니까 불쾌해.
3	내가 투자한 주식이 계속 떨어지고 있어. 오를 줄 알고 샀는데 희망이 없어 보여.아깝지만 지금이라도 팔아야겠어. 더 손해 보는 것보다 낫겠지.
3	나는 회사에 입사하면 내 삶이 달라질 줄 알았는데 그냥 더 피곤하기만 해.돈 버는 기계가 된 기분이야. 그렇다고 통장에 돈이 많지도 않고.일단 사고 싶었던 옷을 하나 살까 봐.
5	어제 친구안테 돈을 빌렸는데 오늘 필요하니 달라고 하네.집도 잘살면서 굳이 달라고 하는게 웃겨. 그냥 다른 친구들처럼 주지 않을 거야.
3	아내의 건강이 최근에 악화되어서 이제 세상 그 무엇도 필요가 없어졌어.아내의 건강을 증진시킬 수 있는 방법을 찾고 싶어.아내가 정신적으로 약해지지 않도록 내가 옆에서 잘 보살필 거야.
3	요즘 같은 시대에 결혼해서 아이를 낳는다는 것은 정말 부질없는 일 같아.양육비도 많이 들고 아이가 커서 경쟁하며 사는 것도 힘들 것 같아서 차라리 비혼이 낫지 않나 싶어.
3	자꾸 들어가는 나이를 생각하니 가슴이 아려.친구들이 곧 세상을 떠날 생각을 하니 눈물이 날 것만 같아.마음을 강하게 먹고 친구들과 많은 시간을 보내야겠어.
5	남자친구가 나한테 심한 말을 해서 상처받았어.너무 슬프고 힘들어. 그 말이 잊히지 않아.다른 친구들을 만나서 기분전환 좀 해야겠어.
3	이번에도 공무원 시험에 떨어져서 부모님 가게에서 일하게 돼서 기분이 안 좋아.이번엔 붙을 줄 알았는데 실망감이 크네.다음번에 또 한 번 도전해보겠다고 부모님께 말씀드려야겠어!
3	오늘도 퇴근은 글렀어.응 밥도 못 먹고 일해도 또 일이 쌓여. 어제는 거래처 실수로 업무가 완전히 마비되었었다니까.
5	이번 건강검진에서 당뇨 수치가 높다고 해서 충격이었어.처방해준 약 잘 먹고 운동 꾸준히 해야할 것 같아.
5	마흔살에 회사에서 은퇴해야 돼서 너무 억울해.새로운 기술을 지금부터 배워서 취직 할꺼야.내 병에 대해서 더 자세히 알아보고 김 씨 할머니가 더 이상 아는 척 못하게 해봐야겠어.
3	더 이상 사는 것이 기쁘지 않아.삶을 무기력하게만 보내고 있고 재미가 없어.남은 삶을 알차게 보내기 위해 먹고 싶은 거 다 먹고 여행도 자주 다니면 좋겠다.
5	엄마는 나만 보면 취업 언제 할 거냐고만 물어봐. 그래서 엄마한테 가기 싫어.내가 맨날 놀겠다는 것도 아니고 열심히 찾아다니고 있어. 그런데 안 하는 것처럼 말씀하시니 억울하고 화가 나지.
3	작년에 집을 사지 않은 게 후회돼.은행 대출 이자가 부담이라 올해 목돈 마련되면 사려고 했는데 이젠 집값이 너무 올라 엄두가 안 나거든.
3	어렵게 모아 놓은 돈을 주식으로 다 날려 버렸네.얼마 없는 돈으로 노후를 대비했는데 어떻게 해야 할지 걱정이야.
5	아들이 내가 청소부인 게 부끄럽대. 마음이 아파.나는 내 직업에 자부심이 있었는데 아들이 그렇게 말하니까 상처가 되더라고.혼자만의 시간을 가지면서 마음을 다독여야겠어.
3	아빠의 공부 강요 때문에 자살 시도까지 했는데 사과도 안 하셨어. 날 공부하는 기계로 봐서 슬퍼.이대로라면 집을 나갈 거 같은데 아빠랑 같이 상담을 받아볼까 고민 중이야.내가 얼마나 힘든지 아빠가 알았으면 좋겠어.
5	내가 수학을 좋아하는데 친구가 나보다 수학을 더 잘해. 내가 더 수학을 잘하고 싶은데 질투가 나.하지만 친구가 항상 나보다 수학을 더 잘해서 신경 쓰여.내가 친구보다 수학을 좋아하는 만큼 더 열심히 해야겠지.
5	나는 친구도 가족도 없어. 이젠 익숙해져서 그런지 외롭지도 않아.외로운 건 참을 수 있는데 이러다가는 나중에 죽어서도 고독사한 상태로 발견될 것 같아 걱정돼.나의 안부를 물어주고 나를 보러 와주는 친구가 있으면 좋겠어.
3	나는 지금 건강한데 요즘 손자들이 아프다는 연락을 많이 받고 있으니 눈물이 나네.그냥 내가 아프면 되는 데 왜 손자들이 아픈 건지 세상이 원망스러워.아픈 손자들을 찾아가 봐야 될 것 같아.
5	요즘 재정 상황이 내 마음먹은 대로 좋아지지 않아서 실망스러워.나이가 먹을 수록 고혈압 때문에 먹어야 되는 약들이 많아져서 병원 지출이 늘어났거든.팀원들과 얘기를 좀 해봐야겠어. 아무리 생각해도 답답해서 가만히 있을 수가 없네.
3	엄마가 내 생일에는 왜 아무도 초대하지 않았냐고 물어봐서 슬펐어.안 그래도 생일을 외롭게 보낼 것 같아서 슬펐는데 더 슬퍼졌어.오래된 친구들은 내 이야기를 들어 줄 것 같아.
3	건강이 안좋으니 비통함이 느껴져.내일 병원에 가보려고 해.
5	이런 감정이 들면 안 되는데. 마음이 불편한 일이 있어.친구가 지금 재정적으로 너무나 큰 차이로 넉넉하니 질투가 나네.나의 상황에 만족하면 더 행복하게 살 수 있겠지.
5	가면 갈수록 업무가 너무 많아져서 괴로워.다른 사람들도 바쁜 건 이해하지만 말단이라고 나한테만 잡일을 주니 너무 괴로워.일을 집에 와서까지 해야 하니까 쉴 수도 없고 스트레스가 너무 쌓여.
5	나는 맹세코 그런 말을 한 적이 없는데 왜 걔한테 맞았는지 모르겠어. 너무 억울해내가 잘못했다고 생각하는 거 같아.나는 친구와 오해를 풀고 화해하고 억울함을 풀고 싶어.사실을 말하고 차분하게 말하면 걔도 오해를 풀겠지.
5	남자친구가 내 친구와 바람이 났어. 너무 화가 나고 믿었던 사람에게 버려진 느낌이 들어.잘 모르겠어. 지금은 아무 말도 하고 싶지가 않아.
5	친구와 같이 있을 때 가족들에게 항상 안부 전화가 오는 걸 보면 너무 부러우면서 질투가 나.우리 가족은 무뚝뚝한 편이라 안부 전화를 잘 안해.내가 먼저 가족들에게 연락하는 게 맞는 것 같아.
3	내 친구 중에 파킨슨병으로 고생하는 친구가 있는데 이제 약도 잘 안듣는대서 슬퍼.오늘 병원 가보려구.
3	요즘 갱년기가 왔어. 너무 우울해서 죽는 게 낫겠다는 생각에 자살에 대한 생각이 자꾸 들어.내가 우울해지니까 남편도 우울해져서 서로 안 좋은 생각을 하는 거 같아.약을 잘 챙겨먹고 남편이랑 같이 취미생활을 해봐야겠어.
5	회사에서 나만 간식을 못 먹어서 화가나.회사에서 나만 빼놓고 자기들끼리 간식을 나눠 먹었어.동료끼리 간식을 나눠 먹을 때 앞에 가서 당당하게 나도 달라고 말할 거야.
5	친구들 만날 때마다 너무 미안해.내가 수익이 없다 보니까 맨날 얻어먹기만 하는 것 같아서 그래.
3	어제 아빠가 나한테 돌아가신 할아버지가 보고 싶다고 하시더라.나도 나중에 아빠처럼 아빠를 그리워할 거라고 생각하니 슬퍼졌어.후회하지 않게 이제라도 아빠와 좋은 추억을 만들겠어.
5	내가 하고 싶은 일은 따로 있는데 부모님은 공무원이 되라고 강요해 괴로워.응. 부모님께 솔직하게 말씀드리려고 해도 자꾸 감정이 울컥해서 힘이 들어.마음을 제대로 전달한다 해도 내 입장을 지지해주지 않을 것 같아서 걱정돼.
3	나이가 들고 주변에 사람이 없으니 마음이 약해져.이러다 혼자가 되면 어쩌지?저녁에 산책하면서 해결책에 대해 생각해봐야겠어.
5	가고 싶은 학과에 교차 지원이 불가능해 너무 슬퍼.진로를 다시 찾아야 한다는 생각에 우울해.친구들이랑 만나서 이야기 좀 나눌까 봐.
5	요금제 가입을 새로 했는데 잘못한 것 같아. 난청이 있는 내가 쓰기엔 너무 비싼 요금제였어.노인네에게 이렇게 비싼 요금제에 가입하게 하다니 사기꾼들에게 걸린 것 같아 너무 억울해.다른 요금제로 바꿔 달라고 해야겠어. 이번에는 설명을 잘해달라고 해야지.
3	이제는 작은 글씨들은 잘 안 보이는 걸 보니 노안이 온 것 같아 슬퍼.너무 버려진 기분이 들어. 어떻게 해야지 기분이 좋아질까.
3	사람들이 자꾸 나를 너무 힘들게 해.다들 나를 공격하는 느낌이야. 지친다.응 새로운 관계나 일은 한동안 만들지 않고 나 자신에 신경 쓰려고.
3	자식들이 병문안을 왔는데 그저 내가 빨리 죽길 바라는 눈치였어.자식 낳아 봤자 소용없어 결국 원하는 건 재산뿐이야.자식들에게 재산을 한 푼도 나눠 주지 않고 사회에 환원한다고 할 거야.
3	우리 가족은 아침에 내가 일어나든 말든 관심이 없어. 나한테 신경 쓰지 않아서 슬퍼.내 꿈에 대해서도 모를 거 같은데 가족 모임을 한 번 잡아볼까 생각 중이야.앞으로 내가 하고 싶은 일과 내 꿈에 대해 얘기할거야.서로에게 관심을 많이 갖고 대화를 많이 나누는 가족이 됐으면 좋겠어.
3	내가 좋은 사람이라 잘 결혼한 거 같다는 아내의 말에 눈물이 났어. 고생만 시킨 거 같아 눈물이 나.이제까지 고생을 많이 했는데 아내를 위한 선물을 살까 고민 중이야.예쁜 목걸이를 선물해주려고 해.아내가 얼마 전에 백화점에서 예쁘다고 했던 게 생각이 났어.
5	오늘이 내 생일인데 자녀들은 바쁘다고 하고 주위에는 축하해줄 사람이 아무도 없네.자식 키워봤자 소용없다는 말도 이래서 나온듯해.지금이라도 자식들이 축하하러 와주면 정말 기쁠 거 같아.
3	나는 사람하고의 관계가 귀찮아. 다 부질없는 것 같아.그런 셈이지. 대인관계에 많은 노력을 쏟았었는데 이제는 그러고 싶지 않아. 혼자 살아가는 인생인걸.
3	나이가 드니 우울증이 생긴 것 같아. 당장 금전적인 문제가 해결돼도 이 슬픈 감정이 나아질 것 같지가 않아.그동안 돈 때문에 아등바등 힘들게 살아서 그런지 돈도 없고 아무도 없는 곳으로 가고 싶어.돈 문제를 해결하고 나를 위해 살아야겠어.
3	복권 일 등에 당첨 된 줄 알았는데 삼 등이었어.기대했었는데. 너무 속상해.가족들과 함께 시간을 보내면 기분이 나아져.
3	지금 운동하고 건강관리를 하는 일이 가끔 부질없게 느껴져.질린 것 같기도 해 뭔가 효과가 안 나타나는 것 같으니깐.그래도 안 하는 것보단 나을 테니 꾸준히 해야겠어.
5	친구가 회사에서 주식을 받아서 그걸로 아파트를 샀어.나는 겨우 전세로 사는데 그 친구는 새 아파트로 가다니 너무 부러워.나도 주식 투자에 힘을 쏟아서 새집으로 이사 갈 거야.
5	자식들에게 헌신했다고 생각했는데 자식들은 내가 아플 때 나를 돌봐주지 않아서 억울해.내가 자식들을 얼마나 힘들게 키웠는데 어떻게 나에게 그렇게 관심이 없는지 모르겠어.한번 솔직하게 자식들에게 나의 상처받은 마음에 관해 이야기 하는 게 좋겠어.
3	낮에는 일을 하고 저녁에는 육아로 잠을 제대로 못 자 무기력과 함께 우울증이 왔어.낮에는 일을 하는데 저녁이라도 편히 있고 싶어.아내와 의논해 보고 서로에게 맞는 방법을 찾아야 할 것 같아.
5	암 투병으로 고생하던 아내가 얼마 전 내 곁을 떠났어. 너무너무 슬펐어.가는 길이라도 남들만큼은 해주고 싶었는데 돈이 없어 장례식도 치러주지 못했어.내가 해줄 수 있는 것이 아무것도 없어서 너무 괴로워. 죄책감에서 쉽게 벗어나지 못할 것 같아.
5	후배 녀석이 조직에서 인정받고 성과급도 항상 많이 받아서 부러우면서도 질투나.능력도 뛰어난데 태도까지 좋아서 옆에서 보는데 질투 나더라고.
5	당뇨 때문에 아내와 함께 다이어트를 시작했는데 두 달 후에 아내만 성공하고 난 그러지 못해서 상처받았어.나도 더 열심히 해서 꼭 성공하고 싶어.가끔 간식을 먹었는데 그걸 줄여야겠어.
5	건강했던 친구 남편이 갑자기 에이형 간염에 걸려서 며칠 만에 죽었다고 해. 소식 듣고 너무 충격받았어.출장을 가서 음식이 잘못됐는지 몇 명이 에이형 간염에 걸렸대. 친구가 얼마나 상심이 클지 가늠이 안 돼.장례식장에 가서 위로해줬는데 어떤 말로도 위로가 되기는 어려운 것 같아.
5	아내가 아픈데 낫고 싶은 의지가 없대. 아픈 것보다 더 괴로운 것을 느끼고 있는 걸까.아프다가 결국 죽게 되는 거잖아. 죽는 것이 제일 괴로운 것이라고 생각해.생명력이 있는 것을 보면 죽음을 생각지 않을 것 같아. 아내에게 식물을 선물해야겠어.
3	암을 떼면 재발확률이 적다더니 다른 장기로 전이 됐어. 너무 슬퍼.응. 의사에게 내 목숨을 걸었는데 기적은 없나 봐.이제 자연 치유 하는 곳에 내 목숨을 맡기는 수밖에.
3	회사 일이 잘 안 풀리다 보니 사장님에게 자주 깨지게 돼.이 일이 나한테 안 맞는 건가 생각도 하게 되고 의욕도 없어졌어.더 늦기 전에 다른 직장을 알아봐야겠어.
3	오늘 시험을 잘봤다고 생각 했는데 못봐서 실망이야.그래서 다음 시험때는 밤을 새서라도 공부해서 꼭 잘보려고해.
3	제일 친한 친구가 해외 이민을 간다고 해서 너무 슬퍼.이민을 가게 되면 앞으로는 만나지 못할 텐데 친구가 보고 싶고 외로울 거 같아.
5	친구들과 친해지지 못하고 있었는데 알고 보니 친구들이 나를 피했던 거였네. 충격적이고 속상해.내가 친화력이 부족한 게 문제라고 생각했었는데 친구들이 나를 일부러 피하고 있던 거였어.친구들에게 왜 나를 피하는 건지 일단 물어봐야겠어.친구들에게 실망했지만 이야기를 나눠보면서 친해지게 되면 좋겠어.
5	아픈 아내를 보고 내가 해줄 수 있는 게 없어.차라리 내가 아픈 게 낫지 지켜보는 게 너무 괴로워.아내가 잘 이겨낼 수 있게 더 힘내야지.
5	엄마랑 성적 때문에 싸웠어.엄마랑 화해하려고 애교 부려야지.
3	내가 잘못해서 엄마와 크게 싸웠어. 엄마랑 관계가 서먹해져서 나 너무 낙담하고 있어.말을 걸기 어려우니 편지로 내 마음을 전하는 것이 좋을 것 같아. 그렇게 하면 엄마도 내가 진심으로 반성하고 있다는 것을 알아주시겠지?
3	자꾸 원하던 직장에 취업이 되지 않아서 너무 슬퍼.왜 나만 자꾸 취업에 실패하는 건지 모르겠어. 슬프기도 하고 이젠 지쳤어.
5	어제 오빠가 잘못한 게 있었는데 나보고 부모님께 사과하라고 등 떠밀어서 상처받았어.이번이 처음도 아니고 항상 오빠가 잘못한 걸 내가 사과해야 하는지 모르겠어.지금까지 왜 항상 내게 뒤집어씌우게 했는지 오빠에게 먼저 말을 걸어 봐야겠어.
5	우리 집은 식구가 다섯 명인데도 어떤 때에는 절해고도에 사는 기분이 들어.아플 때 누구 하나 제대로 된 위로를 해 주는 사람이 없을 때 내가 왜 살고 있나 그런 생각이 들어.남편이라도 내 건강에 관심을 보여주면 나을 텐데 자기 사업에만 바빠서.
3	도박으로 현금을 몽땅 날려버리고 남은 자산은 작은 집 두 채뿐이라 유동 자금을 만들기가 어려워.당장 손에 돈이 없는 내 처지가 너무 슬프고 과거가 후회돼.집 한 채만 남기고 한 채는 팔아서 유동 자금을 마련해봐야겠어.
3	회사가 나를 기계부품처럼 가차없이 교체한다는 걸 느껴서 너무 슬퍼졌어.먼저 해고당한 동료들처럼 나도 조만간 회사에서 잘릴까봐 두려워.먼저 당한 동료들을 만나서 식사나 하면서 이야기 나누려고.
3	아버지가 나보고 그냥 죽으래. 우리 집안에 동성애자 따위 필요 없다고 죽는 게 낫대.우리 집이 엄하다지만 어떻게 자식한테 죽으라는 소리를 할 수 있을까? 너무 우울해.그냥 아버지와 인연을 끊고 나가서 살래. 여기서 아버지 돈으로 어떻게 살겠어.
3	여자 친구가 운전할 때 욕을 너무 많이 해서 실망이야.운전만 하면 왜 그렇게 사람이 변하는지 모르겠어.마음을 편히 먹고 차분히 운전하라고 말해주고 싶어.여자친구가 스스로의 행동을 돌아보게 되지 않을까? 
5	저번에 박 씨가 아플 땐 모금해서 병원비도 챙겨주더니 내가 아플 때는 아무것도 해주지 않았어.나도 돈이 부족한데 누가 도와줬으면 좋겠어.나라에서 지원해주는 게 있는지 찾아봐야겠어.
5	내가 그동안 과장님업무를 봐달라하면 휴일까지 반납하고 도와드렸는데 어떻게 이럴수가 있지?과로 때문에 건강이 안좋아서 며칠 쉬려고 말씀드렸더니 그럴바에 회사를 그만두라는군.
5	내가 버는 돈은 남편의 빚을 갚는데 쓰여.나도 은퇴할 때가 다 돼서 고민이야.부업이라도 구해서 꾸준히 빚을 갚아야겠어.
3	예산에 구애받지 않고 성대한 잔치를 열고 싶어. 예산이 너무 적어서 속상해.응. 나는 화려한 잔치를 하고 싶은데 지금 예산으로는 그냥 파전에 막걸리밖에 준비 못해.할 수 없지. 적은 비용으로 다양한 요리를 준비할 수 있는 요리 방법을 찾아봐야지.
3	건너편 이웃 사람이 어제저녁까지는 건강했는데 오늘 아침에 세상을 떠났다네.아침에 자고 일어나서 보니 죽어 있었다네. 건강한 사람이 그렇게 가다니 나도 걱정되지 뭐야.건강한 사람도 하루아침에 그렇게 되다니. 앞으로 건강검진도 꼬박꼬박 받고 더 신경 써야겠어.
5	은퇴를 하고 나면 지금까지 한 게 허무해질 거 같아.어떻게 하면 이런 생각을 없앨 수 있을까 고민 중이야.긍정적인 생각을 많이 하는 것이 가장 좋은 방법인 것 같아.
3	오늘 회사에서 큰 실수를 한 것 같아.중요한 발표가 있었는데 많은 사람 앞에서 말을 해야 해서 몸이 굳어버렸어.
5	내가 아프다는 사실을 알고 친구들이 연락을 피하는 것 같아 버려진 기분이야.코로나에 걸렸어. 무서운 건 이해하지만 연락까지 피하다니 속상해.이번에 친구를 걸렀다고 긍정적으로 생각하기로 했어.
3	부하 직원 한 명이 퇴사하면서 내 업무량이 늘어서 정신이 마비된 것 같아.새로운 직원에게 인수인계 후에 퇴사를 해야 하는데 그냥 안 나오니 업무도 정신도 마비 상태야.빨리 새로운 직원을 찾아야지 별수가 없네.
5	젊은 시절에 몸을 너무 혹사시킨 것 같아.관절 마디 마디 안아픈 곳이 없어. 내가 너무 나를 돌보지 않고 앞만 보고 살아온 것 같아.응. 남들 다 하는 거 즐기면서 살았어야 하는데 돈 버느라 지금 남은 건 늙고 병든 몸 뿐인 것 같아 서러워.
5	가난한데 건강이 나빠지면 병원비까지 들까 봐 걱정이야.맞아. 최대한 병원에 갈 일이 없도록 건강관리를 시작해야겠어.
3	나 지금까지 연애도 못하고 앞으로 결혼은 할 수 있을지 모르겠어.이대로는 안될 거 같아. 동호회를 한번 나가보려고 해.
5	이렇게 급하게 병원비가 필요할 때 연락할 곳이 없다니 정말 인생 헛살았나 싶다.자식들이랑 연락도 소원해졌고 형제들이랑도 사이가 안 좋아지고 내가 잘못 산 건가 싶어 자괴감 들어.급한 대로 형제들한테 연락해보려고 해 이번 기회로 관계에 대해 노력해 볼 생각이야.
5	친구한테 비밀을 털어놓았는데 글쎄 그 친구가 그걸 다른 사람한테 얘기를 했어.친한 친구였는데. 앞으로 관계를 어떻게 해나가야 할지 고민이야.똑같이 또 이런 행동을 하면 안 될 것 같은데. 다시 한번 희생할 생각은 없어.
3	나는 수많은 노인 중 한 명일뿐 아무런 쓸모가 없어.난 쓸모 없는 사람 같아. 자신감을 키우고 싶은데 잘 안 돼.자신감을 가지려면 여러 사람들을 만나 많은 대화를 나눠보래.
5	죽음을 생각하면 두려워.죽는 것도 무섭지만 심한 병치레로 주변 사람들을 힘들게 할 것 같다는 생각에 괴롭네.건강관리를 꾸준히해서 아파서 죽는 일이 없도록 해야할 것 같아.
5	나는 그 친구를 따돌리지 않았음에도 선생님께 불려가 상담을 하게 되었어.선생님께서도 내가 잘못했다고 생각하시는 것 같아.모르겠어. 이상한 소문을 믿으시는 것 같아.내가 따돌리지 않았다는 것을 아는 친구들을 데려가서 선생님께 말씀 드려야겠어.
5	팔목이 아픈게 평생 집안일만 해서 그런 거 같아.응. 집안일을 하는 사람은 나밖에 없었어.
3	친한 친구가 내 성적을 소문 내고 다녀서 정말 실망스러워.믿었던 친구인데 배신당한 것 같아서 너무 슬퍼. 하지만 절교하고 싶지는 않아.친구와 직접 만나서 솔직하게 대화해봐야겠어.
3	나이가 들어 아프면 병원 안 가고 그냥 죽는 게 나아. 돈 들고 답답하게 사느니 죽는 게 나아.아파도 돈 걱정이 먼저니까 좀 서글퍼. 늙어서 아프면 얼마나 서러울지 생각하니 늙는 게 두렵고 슬퍼.더 늦기 전에 여행 가서 나를 위해 돈과 시간을 써 보고 싶어.
5	나름대로 열심히 공부했는데 왜 자꾸 혼내시는지 모르겠어.부모님이 내 노력을 알아주지 않으셔서 억울해.
3	신장이 안 좋아서 투석을 하고 있는데 고통과 비용 때문에 고민이 많아.주기적으로 투석하는 것도 힘들고 고통 등의 부가적인 어려움이 많아서 괴로워.기증자만 있다면 역시 신장이식이 제일 좋은 방법 같아.
5	새로 들어온 회사 막내가 사장님의 아들이라는 소식을 듣고 충격받았어.나는 힘들게 노력해서 이 회사에 들어왔는데 사장님의 아들은 너무 쉽게 들어온 것 같아서 조금 상처야.친구들과 만나서 스트레스도 풀고 직장 생활을 더 많이 해본 부모님께 조언을 들을래.
5	친구가 갑자기 약속을 깨서 속상해.정말 급한 일인 줄 알았는데 보니까 남자친구랑 데이트하러 간 거였어. 친구한테 버림받은 기분이야.
5	나의 승진 소식에 가족들은 시큰둥한 반응이었어.내가 저것들 먹여 살리겠다고 가장으로서 얼마나 노력했는데 그걸 몰라주네.당분간 나도 가족들한테 별 반응을 안 해주고 나 혼자 맛있는 거 먹고 돌아다닐 거야.
3	친구들 만나는 것도 귀찮고 혼자 있고 싶어. 언젠가부터 사람 관계에 대해 염세적이야.친구들을 만나도 겉치레 이야기만 계속하는 것 같거든.
5	어제 옆집 영감이 나에게 사과는 물론이고 아무 말도 없어서 상처받았어.저번에도 그런 일이 있었는데 아직도 기분이 안 좋아.실수라고 생각하고 넘기면 안될 것 같아. 한번 따끔하게 말해야겠어.저번에도 그랬는데 또 그랬잖아. 상처가 된다는 걸 모르는 것 같아 보이니 알려줘야지.
5	친구가 나한테 자주 못 봐서 서운하다고 해서 짜증을 내버려서 너무 미안해.근데 내 잘못도 아닌 것 같은데 그냥 가만히 있어야겠어.먼저 짜증을 내버린 건 나니까 먼저 사과를 하는 게 좋은 것 같아.
3	친구들이 다 떠나버렸어.친구들이랑 오래도록 같이 있을 줄 알았는데 친구들이 너무 그리워.새로운 친구들을 만들기 위해서 노력해야겠어.
3	친한 친구들과 같은 고등학교에 가고 싶었는데 다들 흩어지게 돼서 기분이 우울해.맞아. 다른 친구들은 얘들처럼 끈끈하지가 않은데 어떡하지.현실적으로 새로운 친구들과 친하게 지내는 방법밖에 없을 것 같아.
